customer_id,segment_name,segment_id,promo_type,promo_description,campaign_date,days_since_campaign,avg_bet,avg_loss,avg_session_duration,zone_diversity,ticket_in,ticket_out,jackpot_total,game_type_diversity,avg_usage_level,response_probability,actual_response,is_weekend_campaign,month,is_holiday_season
CUST_0100,High Roller,0,Bonus_Match,Match deposit bonus,2025-03-07,87,48.49333333333333,134.89333333333332,16.22222222222222,5,6192.83,5601.76,192.77,3,0.304,0.5093195624136977,1,False,3,False
CUST_0100,High Roller,0,VIP_Event,Exclusive event invitation,2025-04-10,53,48.49333333333333,134.89333333333332,16.22222222222222,5,6192.83,5601.76,192.77,3,0.304,0.7380837717825203,1,False,4,False
CUST_0100,High Roller,0,VIP_Event,Exclusive event invitation,2025-01-27,126,48.49333333333333,134.89333333333332,16.22222222222222,5,6192.83,5601.76,192.77,3,0.304,0.6401195942531261,1,False,1,True
CUST_0101,High Roller,0,Free_Play,Free slot credits,2025-03-01,93,60.754,90.658,13.0,4,4785.81,4824.27,99.62,3,0.305,0.48479299197977527,1,True,3,False
CUST_0101,High Roller,0,VIP_Event,Exclusive event invitation,2025-03-08,86,60.754,90.658,13.0,4,4785.81,4824.27,99.62,3,0.305,0.559693443258749,0,True,3,False
CUST_0101,High Roller,0,Bonus_Match,Match deposit bonus,2025-05-10,23,60.754,90.658,13.0,4,4785.81,4824.27,99.62,3,0.305,0.4198052282429046,0,True,5,False
CUST_0101,High Roller,0,Cashback,Percentage of losses returned,2025-02-20,102,60.754,90.658,13.0,4,4785.81,4824.27,99.62,3,0.305,0.38596498238931676,0,False,2,False
CUST_0101,High Roller,0,Dining_Comp,Free meal vouchers,2025-05-11,22,60.754,90.658,13.0,4,4785.81,4824.27,99.62,3,0.305,0.3504321348059041,0,True,5,False
CUST_0102,High Roller,0,Dining_Comp,Free meal vouchers,2025-05-19,14,52.43375,149.195,12.375,4,5769.77,4727.16,171.26999999999998,3,0.31425,0.3951399396405978,0,False,5,False
CUST_0102,High Roller,0,Cashback,Percentage of losses returned,2025-04-11,52,52.43375,149.195,12.375,4,5769.77,4727.16,171.26999999999998,3,0.31425,0.355476928953324,0,False,4,False
CUST_0102,High Roller,0,Bonus_Match,Match deposit bonus,2025-02-24,98,52.43375,149.195,12.375,4,5769.77,4727.16,171.26999999999998,3,0.31425,0.34272734184251347,0,False,2,False
CUST_0102,High Roller,0,Free_Play,Free slot credits,2024-12-12,172,52.43375,149.195,12.375,4,5769.77,4727.16,171.26999999999998,3,0.31425,0.3306902825689281,0,False,12,True
