customer_id,age,gender,nationality,game_type_diversity,avg_rtp,avg_bet,avg_win,avg_session_duration,ticket_in,ticket_out,avg_loss,jackpot_total,avg_usage_level,zone_diversity,segment_label,promo_response
CUST_1521,54,F,Kosovo,5,88.21382107997546,76.32753471733838,76.77277159058751,10.734548097107481,1460.453956966114,1156.145110763071,17.900520364884883,26.60177068827861,0.3481068169452002,3,Regular Player,Medium
CUST_1737,29,F,Turkey,1,92.00728475451879,62.77627963331243,40.61961004939681,16.290733982880138,1251.0582010799155,1156.69686956575,5.550666559656801,38.55304812960048,0.4684932433015741,1,Regular Player,Low
CUST_1740,72,M,Azerbaijan,2,93.27651332130618,53.759318853485766,38.29859459198845,15.33934561409722,685.726270700291,451.73843410743575,19.49898638273794,8.62300465898426,0.3246600737657139,2,Regular Player,Low
CUST_1660,21,M,Kosovo,5,88.55543187989,58.99098064587301,50.098594761519536,15.508652096111984,200.9828308676742,160.96683886664366,10.003998000257639,3.245264192454314,0.14859182293504883,5,Regular Player,Medium
CUST_1411,34,F,Turkey,1,89.09759291328972,67.36217075863124,53.567609021717175,20.773503469612034,234.15736288723366,163.62377419675988,23.511196230157925,4.472722932510361,0.1973666457318532,2,Regular Player,Low
CUST_1678,66,F,Kosovo,2,88.22795844111447,87.55304391430096,74.03860815347656,17.90652276226972,1602.3239354188877,1382.618613110531,12.923842488726864,43.590791548694995,0.05440310109355895,5,Regular Player,Medium
CUST_1626,33,F,Greece,5,90.61085838857618,63.75041437018125,38.80916921099784,18.341858489584624,898.4189195803509,637.8483380239127,20.04389088895679,20.008606948887643,0.05618909073111791,3,Regular Player,Medium
CUST_1513,48,F,Germany,3,93.28519659783277,73.63864359129434,65.46217779566707,10.79573024874519,975.3332405104632,990.6960993173287,0.0,10.310324997598688,0.22705054911956996,1,Regular Player,Low
CUST_1859,67,F,Azerbaijan,2,89.60968217001867,46.83643231480285,43.80071597386994,17.508450126555633,220.9885357748817,144.41971686513983,19.14220472743547,7.512443159580014,0.2676134707874556,4,Regular Player,Medium
CUST_1136,57,F,Germany,4,87.23940950551612,93.06384852545366,89.9967012946299,20.68885793803638,776.8627463503523,543.9546269900445,33.272588480043964,28.096782563255392,0.47356699518866957,4,Regular Player,Medium
CUST_1811,46,M,Bulgaria,4,90.19669409811091,100.0,99.68043475213825,16.960051368535215,487.62446941617264,371.01781564648525,23.32133075393748,15.920057759903704,0.24164738919741763,2,Regular Player,Low
CUST_1076,30,F,Germany,1,84.7853247023745,47.030138245578726,43.66529057255959,20.872635935833507,225.57241039160198,174.98786856806683,10.11690836470703,10.55548604817519,0.1713624183536284,3,Regular Player,Medium
CUST_1636,62,M,Greece,5,84.48951828984877,38.81909696208281,41.69162717874071,17.014257550006874,462.80317263760827,311.19103084970544,10.829438699135917,20.539717684714535,0.1698981401379365,4,Regular Player,Medium
CUST_1973,39,F,Netherlands,4,87.28908415645085,16.31250272351223,11.571958356660016,17.42804929280397,93.46534897220066,73.36607669848961,3.349878712285175,2.635411384689471,0.3087957723139902,5,Casual Gambler,Medium
CUST_1938,33,F,Kosovo,1,85.67691544772711,34.85419005928958,25.44544320385736,19.565700946275484,426.64229331266404,280.2280180261358,13.310388662411656,5.101137065403521,0.46090608002516686,2,Regular Player,Low
CUST_1899,57,F,Kosovo,3,87.77926321964696,20.70154229311091,18.241831276323772,13.747530073611387,334.8471918131465,289.7929613713469,2.650248849517622,8.257562172590346,0.23473895354410143,1,Casual Gambler,Low
CUST_1280,21,M,Netherlands,1,84.33520656769218,10.736717741103757,11.44564259511238,17.962040715468806,65.75860896471761,44.18507313591485,3.5955893048004604,1.7781062617537375,0.0864537238184313,1,Casual Gambler,Low
CUST_1883,53,F,Kosovo,1,84.03725065024615,68.6122946263825,66.08782668711389,20.93785046395916,1155.319324226358,936.9165467300172,14.560185166422722,26.698364687251228,0.4174029017923686,1,Regular Player,Low
CUST_1761,50,F,Netherlands,2,88.57045177165747,10.0,8.842234803049754,19.895054393447012,78.05486823941717,52.371226444370556,2.853737977227402,2.3521926740617776,0.0996369188156458,4,Casual Gambler,Medium
CUST_1319,43,F,Kosovo,1,88.37059967847046,33.01061327581175,34.964762194093616,20.233742636356634,401.397510204691,352.6215062787006,3.2517335950660256,14.05934779462615,0.04139711046948408,4,Regular Player,Medium
CUST_1549,75,F,Azerbaijan,3,85.68743999901203,100.0,44.812582609495784,15.50281227240208,1838.0195601843332,1319.5337091988447,27.288728999236234,55.00462631150431,0.8210713114706517,3,Regular Player,Medium
CUST_1174,45,M,Azerbaijan,2,86.4935788684833,74.47094806557648,56.45587368367345,23.348815419008,1098.5647185933137,878.3060195761101,14.683913267813576,48.95035561855678,0.03988192298559292,3,Regular Player,Medium
CUST_1371,37,F,Azerbaijan,3,92.88388309346594,83.48269882146639,63.68344617605233,19.67440645959905,717.4737606424237,695.4681060892937,2.750706819141257,9.72243719392832,0.1996739401043517,2,Regular Player,Low
CUST_1527,21,M,Kosovo,1,86.03645896024936,61.610578419792475,52.26731131002623,13.767731433876442,436.7125830226813,303.87114401250705,16.605179876271784,7.33162236398557,0.3293786950605599,5,Regular Player,Medium
