session_id,customer_id,ticket_in,ticket_out,session_loss,jackpot_contribution,timestamp
221db7d7,CUST_1000,103.96,35.48,68.48,5.2,2024-04-23 05:36:00
8c1eabf3,CUST_1000,67.15,2.57,64.58,3.36,2024-04-26 07:51:00
d13e1eee,CUST_1000,140.17,134.19,5.98,7.01,2024-04-23 19:16:00
6bbcfbf8,CUST_1000,53.61,37.27,16.34,2.68,2024-05-01 17:51:00
95a7e59d,CUST_1000,177.69,29.53,148.16,8.88,2024-05-19 03:03:00
e61cc3db,CUST_1000,137.75,136.46,1.29,6.89,2024-04-24 02:46:00
6d829849,CUST_1000,189.7,52.39,137.31,9.48,2024-05-19 04:06:00
fe2502d1,CUST_1001,216.24,191.49,24.75,10.81,2024-05-02 16:52:00
0a9575c2,CUST_1001,135.03,87.54,47.49,6.75,2024-05-15 05:20:00
8789ebd0,CUST_1001,117.23,23.61,93.62,5.86,2024-04-20 05:36:00
afe2beaf,CUST_1001,68.95,25.33,43.62,3.45,2024-04-21 06:26:00
6e60a807,CUST_1001,142.78,11.27,131.51,7.14,2024-05-15 13:01:00
932a4c0e,CUST_1002,269.35,162.6,106.75,13.47,2024-05-12 10:31:00
209b17ac,CUST_1002,184.45,182.31,2.14,9.22,2024-05-07 03:45:00
a73aed53,CUST_1002,297.91,56.95,240.96,14.9,2024-05-14 06:02:00
17490657,CUST_1002,164.72,80.0,84.72,8.24,2024-05-15 15:17:00
6ac6527c,CUST_1002,252.56,58.14,194.42,12.63,2024-05-07 05:54:00
140d0427,CUST_1002,158.52,64.99,93.53,7.93,2024-05-12 00:16:00
020ff8c9,CUST_1002,232.06,94.67,137.39,11.6,2024-05-12 04:17:00
50487e26,CUST_1002,288.54,73.98,214.56,14.43,2024-05-02 16:28:00
e54b6590,CUST_1003,164.35,146.03,18.32,8.22,2024-05-18 15:19:00
f012a1fd,CUST_1003,101.11,72.32,28.79,5.06,2024-04-23 21:28:00
8b61beb5,CUST_1003,272.99,63.46,209.53,13.65,2024-04-29 07:11:00
c04bc69b,CUST_1003,108.74,104.93,3.81,5.44,2024-05-03 13:47:00
4cbb6aa7,CUST_1003,125.16,119.73,5.43,6.26,2024-05-03 20:40:00
730242d6,CUST_1003,167.04,24.99,142.05,8.35,2024-04-26 21:48:00
deccd453,CUST_1003,283.66,39.77,243.89,14.18,2024-04-24 16:19:00
f5108e52,CUST_1004,67.64,13.31,54.33,3.38,2024-05-07 17:33:00
34b6e2f8,CUST_1004,186.75,87.89,98.86,9.34,2024-05-19 08:59:00
a4bcac6c,CUST_1004,290.03,225.64,64.39,14.5,2024-05-05 18:15:00
2ba0f176,CUST_1004,191.97,15.71,176.26,9.6,2024-04-21 07:42:00
9ee5140b,CUST_1004,297.01,224.96,72.05,14.85,2024-04-22 08:02:00
52af92e7,CUST_1004,111.52,45.48,66.04,5.58,2024-05-16 22:31:00
a5e19229,CUST_1005,147.96,79.07,68.89,7.4,2024-05-09 12:29:00
bd55ba12,CUST_1005,253.97,253.33,0.64,12.7,2024-05-12 15:27:00
0b2c6faf,CUST_1005,112.23,89.23,23.0,5.61,2024-04-23 04:40:00
ace3fa87,CUST_1005,159.29,64.58,94.71,7.96,2024-04-28 00:45:00
284748fc,CUST_1005,242.58,156.41,86.17,12.13,2024-05-05 15:21:00
54ed7e86,CUST_1005,252.42,147.94,104.48,12.62,2024-04-22 11:03:00
1af20096,CUST_1006,250.51,144.64,105.87,12.53,2024-05-18 06:45:00
f48c5919,CUST_1006,236.98,119.96,117.02,11.85,2024-05-18 17:48:00
66539f9d,CUST_1006,53.95,48.44,5.51,2.7,2024-05-14 23:19:00
