customer_id,age,gender,nationality,game_type_diversity,avg_rtp,avg_bet,avg_win,avg_session_duration,ticket_in,ticket_out,avg_loss,jackpot_total,avg_usage_level,zone_diversity,segment,segment_name
CUST_0100,34,Female,Netherlands,3,90.15333333333334,48.49333333333333,43.55888888888889,16.22222222222222,6192.83,5601.76,134.89333333333332,192.77,0.30400000000000005,5,0,High Roller
CUST_0101,23,Male,Kosovo,3,90.982,60.754,61.36,13.0,4785.8099999999995,4824.27,90.65799999999999,99.62,0.30500000000000005,4,0,High Roller
CUST_0102,27,Female,Bulgaria,3,91.1375,52.43375,43.395,12.375,5769.77,4727.16,149.195,171.26999999999998,0.31425000000000003,4,0,High Roller
CUST_0103,27,Male,Netherlands,3,94.184,50.62,51.258,17.6,3976.47,4161.639999999999,79.03,110.62,0.2096,3,1,Regular Player
CUST_0104,32,Male,Netherlands,3,90.00333333333333,64.02555555555556,61.78666666666667,20.11111111111111,9319.94,8497.49,157.02,279.06,0.2928888888888889,4,0,High Roller
CUST_0105,33,Male,Germany,3,91.9925,58.207499999999996,56.9325,17.0,7128.84,6952.7300000000005,115.1875,265.03000000000003,0.339875,4,0,High Roller
CUST_0106,46,Female,Kosovo,3,90.64666666666666,51.26166666666666,56.175000000000004,13.833333333333334,8860.01,9236.47,79.57166666666667,234.59,0.42616666666666664,5,0,High Roller
CUST_0107,47,Female,Germany,3,92.48285714285714,39.300000000000004,42.24142857142857,18.857142857142858,4340.43,4780.03,47.25714285714286,123.51,0.34900000000000003,4,1,Regular Player
CUST_0108,33,Male,Turkey,3,92.64333333333333,55.074444444444445,48.51888888888889,14.555555555555555,8218.15,7447.41,127.37444444444444,287.64,0.3465555555555555,4,0,High Roller
CUST_0109,42,Female,Bulgaria,3,92.74714285714286,50.38285714285714,46.94428571428572,18.428571428571427,5660.93,4724.42,165.91000000000003,199.13,0.297,4,0,High Roller
CUST_0110,42,Female,Turkey,3,92.27083333333333,49.5725,45.51666666666667,16.666666666666668,8548.98,7591.8,129.54083333333332,262.18,0.28558333333333336,5,0,High Roller
CUST_0111,35,Female,Kosovo,2,92.07875,47.735,36.59125,16.625,5905.6900000000005,5003.58,142.67624999999998,144.73,0.230875,5,1,Regular Player
CUST_0112,44,Male,Netherlands,3,91.32583333333334,45.298333333333325,40.25833333333333,19.083333333333332,8107.469999999999,6857.74,132.91083333333333,234.82,0.2786666666666667,4,0,High Roller
CUST_0113,32,Female,Bulgaria,3,91.66692307692308,57.42923076923076,55.73307692307692,16.615384615384617,12274.369999999999,12249.619999999999,111.78769230769231,427.86,0.30123076923076925,5,0,High Roller
CUST_0114,41,Female,Kosovo,3,91.83222222222223,47.836666666666666,39.077777777777776,17.666666666666668,5805.27,5056.87,116.28555555555558,176.9,0.28744444444444445,4,0,High Roller
CUST_0115,35,Female,Azerbaijan,3,92.06733333333334,46.47,50.25933333333333,17.466666666666665,10559.7,11812.06,40.571333333333335,304.81,0.2876666666666666,5,0,High Roller
CUST_0116,40,Female,Greece,2,91.30625,48.04375,46.838750000000005,19.25,5791.34,5842.6,107.14,147.3,0.321625,5,1,Regular Player
CUST_0117,32,Female,Kosovo,3,92.65666666666668,54.51666666666666,48.112500000000004,16.75,10126.19,9398.24,151.42749999999998,306.05,0.32166666666666666,4,0,High Roller
CUST_0118,34,Male,Azerbaijan,2,92.49333333333334,32.32,24.976666666666663,22.666666666666668,1441.17,1061.77,126.46333333333332,54.89,0.27266666666666667,3,1,Regular Player
CUST_0119,21,Male,Azerbaijan,3,91.045,51.338,45.501,12.2,6756.95,6252.17,118.197,194.1,0.22800000000000004,5,0,High Roller
CUST_0120,38,Male,Greece,3,90.962,51.59400000000001,43.434000000000005,16.4,4215.51,3633.79,168.448,118.63,0.466,4,1,Regular Player
CUST_0121,21,Male,Bulgaria,3,91.69300000000001,53.415,53.301,13.9,9011.95,8825.41,95.559,294.81,0.2209,4,0,High Roller
CUST_0122,35,Female,Kosovo,3,90.66999999999999,42.978571428571435,45.93857142857143,17.857142857142858,4386.24,4670.9400000000005,76.96714285714286,140.94,0.31242857142857144,4,1,Regular Player
CUST_0123,39,Male,Turkey,3,92.136,41.134,43.966,20.8,3340.01,3338.27,79.192,115.18,0.2404,2,1,Regular Player
CUST_0124,26,Male,Azerbaijan,2,89.97999999999999,62.92999999999999,47.56,17.8,4901.14,3638.91,280.534,167.09,0.2752,3,1,Regular Player
CUST_0125,28,Male,Turkey,3,90.52222222222223,50.60444444444445,38.245555555555555,17.0,7702.87,5544.26,254.1866666666667,245.93,0.28300000000000003,4,0,High Roller
CUST_0126,36,Female,Germany,3,92.40363636363637,51.08909090909091,43.67454545454545,19.545454545454547,8728.52,7179.78,195.0581818181818,278.46,0.3446363636363637,5,0,High Roller
CUST_0127,36,Male,Turkey,3,92.15799999999999,57.903,58.722,19.9,9832.84,9963.08,74.992,301.25,0.2535,5,0,High Roller
CUST_0128,41,Male,Azerbaijan,3,91.285,58.9025,52.17625,13.375,7516.820000000001,6683.9,160.745,204.71,0.230125,5,0,High Roller
CUST_0129,37,Male,Greece,3,89.714,51.088,51.448,14.3,7983.360000000001,7968.32,121.36099999999999,308.98,0.2929,4,0,High Roller
CUST_0130,37,Female,Greece,3,91.65363636363637,56.72090909090909,64.21181818181817,15.909090909090908,9822.64,10950.68,44.00818181818182,309.45,0.31218181818181817,5,0,High Roller
CUST_0131,48,Male,Bulgaria,3,90.604,47.035,48.087,17.4,7320.96,7285.43,70.613,219.25,0.2351,5,0,High Roller
CUST_0132,41,Female,Kosovo,2,90.1525,49.2375,42.6875,12.5,3334.49,2559.82,193.665,121.2,0.321,3,1,Regular Player
CUST_0133,29,Female,Bulgaria,3,89.64555555555555,47.42888888888889,48.50222222222222,15.0,6727.889999999999,6937.34,84.4888888888889,203.05,0.17522222222222222,5,0,High Roller
CUST_0134,24,Female,Greece,3,92.74875,42.72875,40.692499999999995,13.375,4393.93,4351.39,82.99375,129.46,0.228375,4,1,Regular Player
CUST_0135,22,Female,Azerbaijan,3,92.64666666666666,52.065,52.47666666666667,13.5,4722.63,5060.45,70.175,148.57,0.2101666666666667,3,1,Regular Player
CUST_0136,48,Male,Greece,3,91.2675,53.2225,46.707499999999996,18.25,3071.33,2325.95,192.0275,99.46000000000001,0.3505,3,1,Regular Player
CUST_0137,36,Male,Kosovo,3,91.63833333333334,66.52333333333333,52.550000000000004,18.5,5949.04,4565.68,230.5583333333333,216.28,0.2985,4,0,High Roller
CUST_0138,21,Male,Turkey,3,91.60357142857143,53.88928571428572,51.67857142857143,14.714285714285714,11576.33,11730.92,122.69071428571428,354.92,0.2989285714285715,5,0,High Roller
CUST_0139,36,Male,Netherlands,3,91.623,50.239,45.736000000000004,16.6,7475.34,7050.25,89.666,212.81,0.2766,4,0,High Roller
CUST_0140,34,Male,Bulgaria,3,91.64384615384617,57.18,49.571538461538466,20.923076923076923,11345.42,9382.880000000001,175.19846153846154,375.78,0.304,5,0,High Roller
CUST_0141,32,Female,Azerbaijan,3,91.09333333333332,47.155833333333334,45.041666666666664,15.333333333333334,8510.39,7928.860000000001,112.42999999999999,223.07,0.27499999999999997,5,0,High Roller
CUST_0142,41,Female,Kosovo,3,91.55066666666667,47.306,47.782666666666664,15.066666666666666,11280.62,10718.47,76.696,318.87,0.2956666666666667,5,0,High Roller
CUST_0143,50,Male,Germany,3,92.03714285714285,46.83,52.59285714285714,16.0,4278.53,4496.12,40.05428571428571,146.59,0.26871428571428574,4,1,Regular Player
CUST_0144,39,Male,Turkey,3,91.31142857142856,55.25428571428571,44.029999999999994,15.571428571428571,6599.09,5689.45,205.75714285714284,232.98,0.30885714285714283,4,0,High Roller
CUST_0145,32,Female,Azerbaijan,2,91.56333333333333,53.75333333333333,64.31333333333333,23.333333333333332,2874.6,3014.56,0.44333333333333336,125.88999999999999,0.2846666666666667,2,1,Regular Player
CUST_0146,33,Female,Netherlands,3,92.56181818181818,56.48909090909091,57.03,16.818181818181817,9530.83,9162.26,121.75090909090909,277.59999999999997,0.2282727272727273,3,0,High Roller
CUST_0147,24,Male,Netherlands,3,92.727,47.888999999999996,49.904,19.9,6258.0,6512.0599999999995,57.237,167.19,0.25680000000000003,5,0,High Roller
CUST_0148,25,Male,Germany,3,91.27285714285713,49.142857142857146,47.53857142857142,20.571428571428573,10349.99,9226.789999999999,155.08285714285714,322.81,0.2697142857142857,5,0,High Roller
CUST_0149,32,Male,Azerbaijan,2,91.97333333333333,63.595555555555556,55.39,15.555555555555555,7813.09,6724.21,190.11,241.92000000000002,0.27566666666666667,4,0,High Roller
CUST_0150,39,Male,Netherlands,3,90.33571428571429,40.445,35.084999999999994,15.142857142857142,8477.22,8106.610000000001,92.06428571428572,261.26,0.2910714285714286,5,0,High Roller
CUST_0151,21,Male,Netherlands,3,92.21833333333332,54.848333333333336,46.754999999999995,17.166666666666668,4407.85,3835.95,139.79666666666668,140.67000000000002,0.23383333333333334,4,1,Regular Player
CUST_0152,36,Female,Kosovo,3,89.29125,44.83,40.81,21.0,4981.17,4430.99,96.25375,148.32,0.27337500000000003,3,1,Regular Player
CUST_0153,60,Male,Bulgaria,2,91.19666666666666,47.10166666666667,55.80833333333334,16.333333333333332,3978.38,4480.93,24.458333333333332,144.33,0.3491666666666666,3,1,Regular Player
CUST_0154,47,Female,Germany,2,89.735,61.9,50.76,13.833333333333334,6189.009999999999,4775.21,290.21166666666664,203.83,0.1885,4,1,Regular Player
CUST_0155,22,Male,Azerbaijan,3,89.808,38.532,33.445,16.6,5917.7699999999995,4920.21,143.696,162.61,0.2903,4,1,Regular Player
